Price,Close,High,Low,Open,Volume
Ticker,BECTORFOOD.NS,BECTORFOOD.NS,BECTORFOOD.NS,BECTORFOOD.NS,BECTORFOOD.NS
Date,,,,,
2024-12-02 00:00:00+0000,1855.722900390625,1968.1335285386892,1782.4417634051604,1783.3378873843053,343038
2024-12-09 00:00:00+0000,1777.76220703125,1876.5322569515552,1758.3965458036037,1854.87651458083,467107
2024-12-16 00:00:00+0000,1631.6480712890625,1807.6320814189432,1622.3883265242698,1804.3961660983089,927187
2024-12-23 00:00:00+0000,1632.743408203125,1682.2778081588779,1600.7327113606448,1628.5616582304156,293666
2024-12-30 00:00:00+0000,1603.5206298828125,1648.823448050877,1594.061799715854,1644.7412403923445,428553
2025-01-06 00:00:00+0000,1553.5382080078125,1626.918767189241,1532.380298703791,1617.9079383750086,438287
2025-01-13 00:00:00+0000,1483.0948486328125,1547.8131608754757,1463.6295230263831,1544.2784967441635,821456
2025-01-20 00:00:00+0000,1479.85888671875,1509.1812109624277,1460.6424782991137,1483.0948022296375,448134
2025-01-27 00:00:00+0000,1522.6226806640625,1659.8752550345944,1423.703258626744,1473.3371990927883,557466
2025-02-03 00:00:00+0000,1470.101318359375,1546.3693340012192,1423.9522088335968,1533.326129545166,1113355
2025-02-10 00:00:00+0000,1353.3594970703125,1474.5320442187035,1334.1929196793958,1465.8199635864685,300082
2025-02-17 00:00:00+0000,1369.6883544921875,1394.9284706049386,1278.435514815661,1354.0563208332937,402910
2025-02-24 00:00:00+0000,1318.034912109375,1362.0908417181872,1297.0796683906335,1361.991079205366,441301
2025-03-03 00:00:00+0000,1426.90234375,1437.629432612615,1273.2805012741,1325.169675307214,312373
2025-03-10 00:00:00+0000,1494.0589599609375,1555.6274120414132,1364.5854918995371,1439.3258843370882,1002051
2025-03-17 00:00:00+0000,1557.3736572265625,1596.5899465118173,1430.7442145419607,1494.0589358842617,241430
2025-03-24 00:00:00+0000,1458.285400390625,1575.5349772917882,1450.0030411280152,1565.1071758770422,283790
2025-03-31 00:00:00+0000,1501.54296875,1535.6700305301777,1438.128362349209,1458.2853837448174,157187
2025-04-07 00:00:00+0000,1582.8193359375,1607.566529245853,1317.186727873697,1356.1036084699654,278285
2025-04-14 00:00:00+0000,1556.575439453125,1634.3094370413844,1538.7135650172893,1582.8193136821828,185701
2025-04-21 00:00:00+0000,1554.9788818359375,1650.4748700295497,1545.3992446343232,1556.5754474328241,315605
2025-04-28 00:00:00+0000,1469.9603271484375,1565.5561953516215,1459.4827060155476,1546.7962154562956,222028
2025-05-05 00:00:00+0000,1444.4149169921875,1486.724573465075,1367.0800941480463,1474.7501492827564,254099
