Price,Close,High,Low,Open,Volume
Ticker,WAAREEENER.NS,WAAREEENER.NS,WAAREEENER.NS,WAAREEENER.NS,WAAREEENER.NS
Date,,,,,
2024-12-02 00:00:00+0000,2901.472412109375,2973.3320022255302,2673.5502244489517,2693.488990251363,13605578
2024-12-09 00:00:00+0000,3215.246337890625,3443.5181827296024,2900.3729289065514,2916.763636278889,22833497
2024-12-16 00:00:00+0000,2877.73583984375,3255.7237597567782,2863.3937873214595,3223.1919595503336,11797316
2024-12-23 00:00:00+0000,2788.83544921875,3028.3012137562187,2779.7406975862846,2920.361764553027,5879896
2024-12-30 00:00:00+0000,2819.2685546875,2904.3707167314537,2736.414887150691,2798.43014688509,5048569
2025-01-06 00:00:00+0000,2563.56201171875,2841.805837728359,2558.564814814815,2825.3651087151634,5124254
2025-01-13 00:00:00+0000,2603.83935546875,2683.3945803522565,2473.6123609577794,2550.819049799795,5500498
2025-01-20 00:00:00+0000,2240.443115234375,2719.4744387471883,2205.7626190058963,2619.430463410081,12739412
2025-01-27 00:00:00+0000,2401.452880859375,2555.916278750627,2024.8640909567075,2213.758125108148,24403517
2025-02-03 00:00:00+0000,2297.011474609375,2412.6465569777765,2273.7244892810445,2368.121485760557,5403980
2025-02-10 00:00:00+0000,2102.720458984375,2297.7111837972034,2084.0810117499427,2297.0116250169817,5787352
2025-02-17 00:00:00+0000,2259.4326171875,2363.574154530852,2051.2493400391772,2098.8227533840536,6541727
2025-02-24 00:00:00+0000,2157.33984375,2296.711611402737,2125.9075251971303,2206.712049718256,3036693
2025-03-03 00:00:00+0000,2224.85205078125,2280.1708728029253,2065.241390225029,2177.7783594531584,4965456
2025-03-10 00:00:00+0000,2124.05859375,2248.738659422421,2085.5801766887716,2236.5455474920823,2335020
2025-03-17 00:00:00+0000,2351.580810546875,2372.669078985187,2088.8282961579785,2137.7007840503165,3581008
2025-03-24 00:00:00+0000,2403.3017578125,2506.5939132008034,2369.67072097253,2393.657265596461,5246138
2025-03-31 00:00:00+0000,2159.738525390625,2419.6427904936827,2130.0052032026088,2403.301858681286,3613979
2025-04-07 00:00:00+0000,2160.238037109375,2238.744043322156,1861.9554253165968,1868.9014796859783,3488654
2025-04-14 00:00:00+0000,2321.697509765625,2375.767273866612,2160.2380409465236,2160.2380409465236,3966116
2025-04-21 00:00:00+0000,2674.99951171875,3114.5530016754533,2343.7853974078316,2348.68255278874,45016486
2025-04-28 00:00:00+0000,2584.4501953125,2760.7514483584864,2573.756242746539,2648.5143571762655,6377278
2025-05-05 00:00:00+0000,2592.545654296875,2732.367120703138,2528.8814169840116,2589.5473362695466,7797917
2025-05-12 00:00:00+0000,2919.46240234375,2992.3214338428324,2659.5081280747418,2698.4862629845184,10948123
2025-05-19 00:00:00+0000,2763.44970703125,3078.273091376582,2662.5063361776674,2938.7512653477584,17466342
2025-05-26 00:00:00+0000,2977.229736328125,3066.279878645165,2744.2605738280936,2773.444153598544,12028187
2025-06-02 00:00:00+0000,2826.71435546875,2986.324770471303,2810.8231234405,2983.2264108924073,6434348
2025-06-09 00:00:00+0000,2823.1162109375,2955.1422432971735,2740.762508205357,2841.9057190376707,6690841
2025-06-16 00:00:00+0000,2987.32421875,3023.603915975181,2639.519324763717,2828.3133204783353,18743104
2025-06-23 00:00:00+0000,2945.847412109375,3093.2647126305396,2899.373483470499,2960.3392823300996,13204831
2025-06-30 00:00:00+0000,2976.430419921875,3195.207595600632,2929.556568097772,2983.3264538216727,18128816
2025-07-07 00:00:00+0000,3110.355224609375,3190.21032916974,2903.3712425557937,2976.3303133670065,13477798
2025-07-14 00:00:00+0000,3120.249755859375,3340.126420269709,3076.7741426691496,3113.053841097606,10912500
2025-07-21 00:00:00+0000,3196.406982421875,3283.158369572361,3053.08747265757,3157.2290074517778,7622155
2025-07-28 00:00:00+0000,3102.259765625,3289.1549254741867,2953.3433013601402,3248.177911817413,20885971
2025-08-04 00:00:00+0000,3059.283935546875,3245.4795404379174,3034.3979926403345,3117.7511391501066,12105820
2025-08-11 00:00:00+0000,2881.183837890625,3189.1109585268755,2828.9131105241054,3076.2743523028425,8751004
2025-08-18 00:00:00+0000,3186.8125,3297.1505097888244,2934.3540153804147,2947.346727301377,11047026
2025-08-25 00:00:00+0000,3400.0927734375,3494.839675536862,3081.271610966435,3188.2116247106483,28101253
2025-09-01 00:00:00+0000,3217.695068359375,3445.9669240466706,3160.227304287108,3445.9669240466706,9227855
2025-09-08 00:00:00+0000,3632.162353515625,3862.832998996418,3149.433158556952,3226.190147674111,27233411
2025-09-15 00:00:00+0000,3524.322998046875,3725.9098643874763,3468.2543533981298,3637.959202352579,10852536
2025-09-22 00:00:00+0000,3205.8017578125,3576.9934349342725,3180.216012841815,3398.4934693586856,10000412
2025-09-29 00:00:00+0000,3436.971923828125,3467.055146220992,3140.9380336520353,3223.1919419321707,7162496
2025-10-06 00:00:00+0000,3331.531005859375,3462.0578815589083,3268.1666491621336,3438.0713373448743,3518474
2025-10-13 00:00:00+0000,3533.318115234375,3716.715242830497,3333.230398668676,3338.027512525406,15919279
2025-10-20 00:00:00+0000,3527.521240234375,3620.968820900734,3488.043385300459,3572.995731360785,4108727
2025-10-27 00:00:00+0000,3427.39990234375,3643.0,3418.199951171875,3550.0,5735862
2025-11-03 00:00:00+0000,3276.199951171875,3475.10009765625,3261.89990234375,3423.0,2810284
2025-11-10 00:00:00+0000,3348.699951171875,3405.0,3285.0,3295.0,2891524
2025-11-17 00:00:00+0000,3185.699951171875,3359.800048828125,3075.10009765625,3356.89990234375,5234300
2025-11-24 00:00:00+0000,3172.5,3332.699951171875,3087.699951171875,3185.699951171875,4657592
