Price,Close,High,Low,Open,Volume
Ticker,VENTIVE.NS,VENTIVE.NS,VENTIVE.NS,VENTIVE.NS,VENTIVE.NS
Date,,,,,
2024-12-30 00:00:00+0000,739.9500122070312,774.5,695.2000122070312,716.0,17668858
2025-01-06 00:00:00+0000,701.2999877929688,742.6500244140625,685.5,740.0,3520989
2025-01-13 00:00:00+0000,687.0,699.9500122070312,653.5999755859375,698.9500122070312,1894630
2025-01-20 00:00:00+0000,670.2999877929688,707.0999755859375,662.5499877929688,689.7999877929688,1266307
2025-01-27 00:00:00+0000,731.2999877929688,737.9000244140625,612.2999877929688,652.0,3011530
2025-02-03 00:00:00+0000,763.5,789.0,709.9500122070312,720.0,1679719
2025-02-10 00:00:00+0000,676.1500244140625,774.9500122070312,646.3499755859375,770.0,2169546
2025-02-17 00:00:00+0000,628.0,675.2000122070312,611.25,675.2000122070312,982902
2025-02-24 00:00:00+0000,557.4000244140625,624.9500122070312,550.0,624.9500122070312,909519
2025-03-03 00:00:00+0000,705.5,723.7000122070312,523.4000244140625,560.1500244140625,1666453
2025-03-10 00:00:00+0000,734.3499755859375,774.0,680.5,694.0499877929688,935375
2025-03-17 00:00:00+0000,793.1500244140625,810.4000244140625,710.5,734.3499755859375,1216372
2025-03-24 00:00:00+0000,712.4500122070312,806.1500244140625,684.0,806.1500244140625,2234684
2025-03-31 00:00:00+0000,688.0,750.4000244140625,688.0,712.4500122070312,567259
2025-04-07 00:00:00+0000,714.75,724.7999877929688,619.2000122070312,619.2000122070312,755914
2025-04-14 00:00:00+0000,774.2000122070312,785.25,721.0,726.0,654002
2025-04-21 00:00:00+0000,739.8499755859375,806.4500122070312,723.0999755859375,780.0,1116868
2025-04-28 00:00:00+0000,712.5999755859375,751.9000244140625,710.0,740.0,286437
2025-05-05 00:00:00+0000,738.0,790.0999755859375,706.25,706.25,1019121
2025-05-12 00:00:00+0000,753.25,840.0,744.5499877929688,767.0,1248991
2025-05-19 00:00:00+0000,763.5999755859375,787.5499877929688,730.0,755.0,781553
2025-05-26 00:00:00+0000,775.6500244140625,783.4000244140625,744.0,770.4000244140625,337014
2025-06-02 00:00:00+0000,746.4500122070312,777.5499877929688,727.4500122070312,775.6500244140625,431656
2025-06-09 00:00:00+0000,710.75,762.75,705.7999877929688,746.4500122070312,331833
2025-06-16 00:00:00+0000,700.2000122070312,725.2000122070312,682.3499755859375,711.9500122070312,401374
2025-06-23 00:00:00+0000,688.6500244140625,708.0,670.0,690.0,389310
2025-06-30 00:00:00+0000,750.6500244140625,755.25,663.25,681.0999755859375,3716811
2025-07-07 00:00:00+0000,783.1500244140625,799.0,730.0,750.6500244140625,1836342
2025-07-14 00:00:00+0000,825.5999755859375,831.3499755859375,765.2000122070312,782.7999877929688,1366173
2025-07-21 00:00:00+0000,761.0,838.2000122070312,758.7000122070312,832.0,805083
2025-07-28 00:00:00+0000,764.1500244140625,799.0,720.75,760.0499877929688,960426
2025-08-04 00:00:00+0000,739.6500244140625,779.3499755859375,734.5499877929688,764.1500244140625,310219
2025-08-11 00:00:00+0000,712.9000244140625,769.0,709.0499877929688,757.0,446258
2025-08-18 00:00:00+0000,749.9500122070312,767.7000122070312,696.0,737.75,908213
2025-08-25 00:00:00+0000,708.6500244140625,757.9500122070312,700.0,754.0,272547
2025-09-01 00:00:00+0000,725.0499877929688,754.0999755859375,704.0,704.0,358121
2025-09-08 00:00:00+0000,745.0499877929688,773.0,725.0,725.0,389244
2025-09-15 00:00:00+0000,769.25,784.7999877929688,738.7999877929688,748.7000122070312,525015
2025-09-22 00:00:00+0000,736.5999755859375,789.0,734.5999755859375,787.7000122070312,1106321
2025-09-29 00:00:00+0000,723.5999755859375,740.6500244140625,690.0,739.9500122070312,951673
2025-10-06 00:00:00+0000,710.75,728.9000244140625,699.8499755859375,725.4000244140625,318056
2025-10-13 00:00:00+0000,730.0999755859375,744.4500122070312,688.0,713.0,588379
2025-10-20 00:00:00+0000,748.5999755859375,775.0,727.8499755859375,738.4000244140625,520944
2025-10-27 00:00:00+0000,738.9000244140625,755.0,733.0,755.0,148070
2025-11-03 00:00:00+0000,720.7000122070312,748.0,710.0499877929688,744.9000244140625,187488
2025-11-10 00:00:00+0000,748.25,759.2000122070312,708.0,729.0,337400
2025-11-17 00:00:00+0000,719.6500244140625,765.0,715.1500244140625,760.0,185616
2025-11-24 00:00:00+0000,728.1500244140625,748.0,698.7999877929688,716.0,252692
